A_Date_,B_Shift_,C_Line_,Description_,E_Duration_,Frequency_,G_Downtime_Type,H_Machine_,I_Category_,J_Failure_Mode
27/04/2024,Night,5,"Misaligned filler infeed transfer fingers No.39, 5 and 6.",17,3,Minor Stop,Innofill,Machine,Misaligned fingers.
27/04/2024,Night,5,Poor cap flow at capper airliner to infeed of cap chute.,11,4,Minor Stop,Innofill,Material,Poor cap flow at capper airliner to infeed of filler cap chute.
27/04/2024,Night,5,Poor cap flow at capper airliner to infeed of cap chute.,8,3,Minor Stop,Innofill,Material,Poor cap flow at capper airliner to infeed of filler cap chute.
27/04/2024,Night,5,Cap hooked in the UV treatment box due to bad cap; ,4,3,Minor Stop,Innofill,Material,Cap hooked in the UV treatment box due to bad cap; Ringless caps.
27/04/2024,Night,6,Frequent Jam at depalletiser cross discharge,32,7,Minor Stop,Depalletiser,Machine,Frequent Jam at depalletiser cross discharge
27/04/2024,Night,5,Cap hooked at the dynasort due to twisted/ deformed cap.,21,14,Minor Stop,Innofill,Material,Bad cap; cap without seal.
27/04/2024,Night,5,Cap jam at the smartcheck unit,5,3,Minor Stop,Innofill,Machine,cap jam at the smartcheck unit
27/04/2024,Night,5,"Cleaning of the transfer drum, vacuum drum due to glue smear.",12,1,Minor Stop,Innoket,Machine,"Cleaning of the transfer drum, vacuum drum due to glue smear."
28/04/2024,Day,5,Safety audit check of Filler doors and emergency push buttons,12,1,Planned Stop,Innofill,Method,Safety audit check of Filler doors and emergency push buttons
28/04/2024,Day,6,Machine safety audit/shift handover,10,3,Minor Stop,Filler,Method,Machine safety audit
28/04/2024,Day,6,Depalletiser stops frequently due to jam at cross discharge,17,6,Minor Stop,Depalletiser,Material,Jam at cross discharge.
28/04/2024,Day,6,Crate jam at crate washer turning unit due to bad crates,7,3,Minor Stop,Crate Washer,Material,Crate jam at crate washer turning unit due to bad crates
28/04/2024,Day,6,Depalletiser stops frequently due to jam at cross discharge,23,9,Minor Stop,Depalletiser,Material,Jam at cross discharge.
28/04/2024,Day,5,Frequent cap jam at the output of dynasort due to poor cap flow ,6,2,Minor Stop,Capper,Material,Frequent cap jam at the output of dynasort due to poor cap flow 
28/04/2024,Day,5,Frequent hooking and falling botles at air conveyor,9,3,Minor Stop,Air conveyor,Machine,Frequent hooking and falling botles at air conveyor
28/04/2024,Day,5,Decontamination cleaning/ CILT,60,1,Planned Stop,Innofill,Method,Decontamination cleaning/ CILT
28/04/2024,Day,6,Frequent jam at packer due to bend stem membrane and breakages on the marshalling table.,19,8,Minor Stop,Packer,Material,Bend stem membrane and breakages
28/04/2024,Day,6,CILT TIME ,27,1,Planned Stop,,Method,CILT TIME 
28/04/2024,Day,6,CILT TIME ,33,1,Planned Stop,,Method,CILT TIME 
28/04/2024,Day,6,Work loosed bolt connecting the infeed mechanism and the drive ,13,1,Break Down,Bottle Washer,Machine,Work loosed bolt connecting the infeed mechanism and the drive 
28/04/2024,Day,6,Work loosed bolt connecting the infeed mechanism and the drive ,60,1,Break Down,Bottle Washer,Machine,Work loosed bolt connecting the infeed mechanism and the drive 
28/04/2024,Day,6,Work loosed bolt connecting the infeed mechanism and the drive ,25,1,Break Down,Bottle Washer,Machine,Work loosed bolt connecting the infeed mechanism and the drive 
28/04/2024,Day,6,Pasteuriser stopped on KP value not reached due to long stop as a result of Bottle Washer breakdown,11,1,Break Down,Pasteuriser,Method,Killing point temperature not reached.
28/04/2024,Day,6,Speed loss due to weather bottles ,19,7,Minor Stop,,Material,Weather bottles 
28/04/2024,Day,5,Frequent hooking and falling bottles at air conveyor,8,3,Minor Stop,Air conveyor,Machine,Frequent hooking and falling bottles at air conveyor
28/04/2024,Day,5,Palletizer stopped frequency converter centering left fault ,15,1,Break Down,Innopal,Machine,Palletizer stopped frequency converter centering left fault 
28/04/2024,Day,5,Palletizer stopped frequency converter centering left fault ,12,1,Break Down,Innopal,Machine,Palletizer stopped frequency converter centering left fault 
28/04/2024,Day,5,Cap jam at smart check unit (damaged cap),6,2,Minor Stop,Capper,Material,Cap jam at smart check unit (damaged cap)
28/04/2024,Day,6,Speed loss due to weather bottles ,21,6,Minor Stop,,Material,Weather bottles 
28/04/2024,Day,6,Frequent Jam at packer due to bend sperm membrane,13,5,Minor Stop,Packer,Material,Bend sperm membrane
28/04/2024,Day,6,Pasteuriser stops on container jam at discharge due to fallen bottles,9,4,Minor Stop,Pasteuriser,Material,Fallen bottles at discharge
28/04/2024,Day,5,Label carry over,16,1,Break Down,Innoket,Material,Label carry over 
28/04/2024,Day,5,Preform hook underneath the kicker wheel of roller sorter,10,3,Minor Stop,Roller sorter,Machine,Preform hook underneath the kicker wheel of roller sorter
28/04/2024,Day,6,Labeller stops frequently due to bottle jam at discharge,11,7,Minor Stop,Labeller,Material,Fallen bottles at discharge
28/04/2024,Day,6,EBI stops on back-up has occured: Belt due to bottle jam inside EBI,8,5,Minor Stop,EBI,Material,Bottle jam inside EBI
28/04/2024,Day,5,Pallet magazine stopped on NM safety  lift upward NM14B11 fault,22,1,Break Down,Innopal,Machine,Pallet magazine stopped on NM safety  lift upward NM14B11 fault
28/04/2024,Night,6,safty zone audit ,10,1,Planned Stop,Filler,Method,safty zone audit 
28/04/2024,Night,6,Crate conveyor from packer to palletizer tripped off,10,2,Minor Stop,Crate Conveyor,Machine,Crate conveyor from packer to palletizer tripped off
28/04/2024,Night,6,Pasteurizer stopped on KP value not reached,10,2,Minor Stop,Pasteuriser,Machine,Pasteurizer stopped on KP value not reached
28/04/2024,Night,6,Forklift delay @ depalletizer,10,1,External Stop,Depalletiser,Man,Forklift delay @ depalletizer
28/04/2024,Night,5,Decontamination cleaning of Filler.,45,1,Planned Stop,Innofill,Man,Decontamination Cleaning of Filler.
28/04/2024,Night,5,Cleaning of gripper cylinder due to glue smear,6,1,Break Down,Innoket,Machine,Cleaning of gripper cylinder due to glue smear
28/04/2024,Night,5,Cap jam at dynasort discharge unit.,2,1,Minor Stop,Innofill,Machine,Cap jam at dynasort discharge unit.
28/04/2024,Night,5,Cap jam at dynasort discharge unit.,2,1,Minor Stop,Innofill,Machine,Cap jam at dynasort discharge unit.
28/04/2024,Night,5,Miasligned Rinser probe No. 44,4,1,Minor Stop,Innofill,Machine,Miasligned Rinser probe No. 44
28/04/2024,Night,6,frequent jam @ packer,10,12,Minor Stop,Packer,Machine,frequent jam @ packer
28/04/2024,Night,6,palletiser tripping off on incomplete packs,10,9,Minor Stop,Palletiser,Machine,palletiser tripping off on incomplete packs
28/04/2024,Night,6,frequent jam @ packer / adjustment of central frame,10,1,Break Down,Packer,Machine,frequent jam @ packer / adjustment of central frame
28/04/2024,Night,5,Poor bottle flow along the air conveyor between section 25-29,2,1,Minor Stop,Innofill,Machine,Poor bottle flow along the air conveyor between section 25-29
28/04/2024,Night,6,frequent jam @ packer / adjustment of central frame,40,1,Break Down,Packer,Machine,frequent jam @ packer / adjustment of central frame
28/04/2024,Night,6,replacement of borken grad steam @ packer,20,2,Minor Stop,Packer,Machine,replacement of borken grad steam @ packer
28/04/2024,Night,6,pasteuriser stop on KP value not reached ,10,1,Minor Stop,Pasteuriser,Machine,pasteuriser stop on KP value not reached 
28/04/2024,Night,6,Depalletiser stops frequently due to jam at cross discharge,10,13,Minor Stop,Depalletiser,Machine,Depalletiser stops frequently due to jam at cross discharge
28/04/2024,Night,5,Tunnel pasto stopped on Pressure for pump zone too low fault,15,1,Break Down,Innopas,Machine,Tunnel pasto stopped on Pressure for pump zone too low fault
28/04/2024,Night,6,Pasteurizer stopped on PU value not reached,10,8,Minor Stop,Pasteuriser,Machine,Pasteurizer stopped on PU value not reached
28/04/2024,Night,6,frequent jam @ packer,10,15,Minor Stop,Packer,Machine,frequent jam @ packer
28/04/2024,Night,6,Depalletiser stops frequently due to jam at cross discharge,10,10,Minor Stop,Depalletiser,Machine,Depalletiser stops frequently due to jam at cross discharge
28/04/2024,Night,6,"fallen crate from gipper head, damage air hose connector to crate stopper @ palletiser formation table",20,1,Break Down,Palletiser,Machine,"fallen crate from gipper head, damage air hose connector to crate stopper @ palletiser formation table"
28/04/2024,Night,5,Cap jam at the input of the cap inclinced conveyor,2,1,Minor Stop,Innofill,Machine,Cap jam at the input of the cap inclinced conveyor
28/04/2024,Night,5,Poor bottles flow along the air conveyor between sections 25-29,4,2,Minor Stop,Innofill,Machine,Poor bottles flow along the air conveyor between sections 25-29
28/04/2024,Night,5,Fallen bottles at filler discharge conveyor due to poorly formed bottle bases,5,2,Minor Stop,Innofill,Material,Fallen bottles at filler discharge conveyor due to poorly formed bottle bases
28/04/2024,Night,5,Tunnel Pasto stopped on PU safety fault,5,1,Minor Stop,Innopas,Machine,Tunnel Pasto stopped on PU safety fault
28/04/2024,Night,5,Bottle jam at filler discharge conveyor due to poorly formed bottle base,4,1,Minor Stop,Innofill,Material,Bottle jam at filler discharge conveyor due to poorly formed bottle base
28/04/2024,Night,6,Depalletiser stops frequently due to jam at cross discharge,10,10,Minor Stop,Depalletiser,Machine,Depalletiser stops frequently due to jam at cross discharge
28/04/2024,Night,6,wrong turn at palletiser formation table,10,6,Minor Stop,Palletiser,Material,wrong turn at palletiser formation table
28/04/2024,Night,6,wrong turn pack at palletiser formation table,16,12,Minor Stop,Palletiser,Machine,wrong turn pack at palletiser formation table
28/04/2024,Night,6,wrong turn pack at palletiser formation table,10,9,Minor Stop,Palletiser,Machine,wrong turn pack at palletiser formation table
28/04/2024,Night,6,frequent jam @ packer,10,6,Minor Stop,Packer,Machine,frequent jam @ packer
28/04/2024,Night,5,Bottle hooked in the air conveyor between section 37-39,3,2,Minor Stop,Innofill,Machine,Bottle hooked in the air conveyor between section 37-39
28/04/2024,Night,5,Poor bottles flow along the air conveyor between section 25-29,3,2,Minor Stop,Innofill,Machine,Poor bottles flow along the air conveyor between section 25-29
28/04/2024,Night,5,Fallen bottles at filler discharge conveyor due to poorly formed bottle bases,5,2,Minor Stop,Innofill,Machine,Fallen bottles at filler discharge conveyor due to poorly formed bottle bases
28/04/2024,Night,6,palletiser stop on gripper can not close due to wrong turnning,14,4,Minor Stop,Palletiser,Machine,palletiser stop on gripper can not close due to wrong turnning
28/04/2024,Night,5,Preform hooked underneath the kicker wheel of the roller sorter,5,2,Minor Stop,Blowmax,Machine,preform hooked underneath the kicker wheel of the roller sorter
29/04/2024,Morning,6,Machine safety audit/ shift handover,10,1,Planned Stop,Bottle Conveyor,Method,Machine safety audit/ shift handover
29/04/2024,Morning,6,Fallen crates at palletising zone due to bad pallet,10,3,Minor Stop,Palletiser,Material,Fallen crates at palletising zone due to bad pallet
29/04/2024,Morning,6,Derailed C-curve crate conveyor to paletiser,25,1,Break Down,Crate Conveyor,Machine,Derailed C-curve crate conveyor to paletiser
29/04/2024,Morning,6,Pasteuriser stopped on KP value not reached,5,1,Minor Stop,Pasteuriser,Machine,Due to breakdown at crate conveyor
29/04/2024,Morning,6,Speed loss due Weathered bottles,12,4,Minor Stop,Bottle Washer,Machine,Speed loss due Weathered bottles
29/04/2024,Morning,6,CILT TIME ,60,1,Planned Stop,Bottle Conveyor,Method,CILT TIME 
29/04/2024,Morning,5,CILT TIME ,45,1,Planned Stop,Innofill,Method,CILT TIME 
29/04/2024,Morning,5,CILT TIME ,15,1,Planned Stop,Innofill,Method,CILT TIME 
29/04/2024,Morning,6,Packer discharge conveyor to palletiser stopped on frequency inverter signalthe following malfunction:control word timeout,30,1,Break Down,Bottle Conveyor,Machine,Packer discharge conveyor to palletiser stopped on frequency inverter signalthe following malfunction:control word timeout
29/04/2024,Morning,6,Pasteuriser stopped on KP value not reached,6,1,Minor Stop,Pasteuriser,Machine,Due to breakdown at crate conveyor
29/04/2024,Morning,5,Frequent falling botlles at collating/wrapping section of shrink packer due to water splash on mat during cleaning (collating section and wrapping section),26,10,Minor Stop,Kister,Man,wet shrink wrapper mat
29/04/2024,Morning,5,Tunnel pasteurizer stopped on RH3 and RHL pump pressure too low ,10,1,Minor Stop,Innopas,Machine,low pump pressure due to gradual blocking of spray pipes
29/04/2024,Afternoon,5,Safety audit check of Filler safety doors and emergency push buttons.,9,1,Planned Stop,Innofill,Method,Safety audit check of Filler safety doors and emergency push buttons.
29/04/2024,Afternoon,5,Label carry over,14,1,Break Down,Innoket,Material,Label carry over 
29/04/2024,Afternoon,6,Machine safety audit/shift handover,10,3,Minor Stop,Filler,Method,Machine safety audit
29/04/2024,Afternoon,6,EBI stops frequently on Back-up at Belt due to bottle jam inside the machine,7,5,Minor Stop,EBI,Material,Bottle jam inside the EBI
29/04/2024,Afternoon,6,Pasteuriser stopped on Follow line at discharge due to red post inserted,3,1,Minor Stop,Pasteuriser,Method,Red post inserted
29/04/2024,Afternoon,6,Speed loss due to weather bottles ,14,5,Minor Stop,,Material,Weather bottles 
29/04/2024,Afternoon,6,Filler stops frequently on lack of caps due to bad cap hooking along the chute,21,15,Minor Stop,Filler,Material,Bad cap hooking along the chute
29/04/2024,Afternoon,5,Foreign cap test at filler ,10,1,Planned Stop,Innofill,Machine,Foreign cap test at filler 
29/04/2024,Afternoon,5,Misaligned preform steep conveyor base photocell,7,1,Break Down,Blowmax,Machine,Misaligned preform steep conveyor base photocell
29/04/2024,Afternoon,5,Frequent hooking and falling of bottles at air conveyor,7,3,Minor Stop,Air conveyor,Machine,Frequent hooking and falling of bottles at air conveyor
29/04/2024,Afternoon,5,Production interrupted at compressor due to dryer alarm,20,1,Break Down,Blowmax,Machine,Production interrupted at compressor due to dryer alarm
29/04/2024,Afternoon,6,Speed loss due to weather bottles ,15,7,Minor Stop,Packer,Material,Weather bottles 
29/04/2024,Afternoon,6,Packer stops frequently due to jam at marshalling table,15,8,Minor Stop,Packer,Machine,Hoist jamming on bottles at marshalling table
29/04/2024,Afternoon,6,Collapse pallet at Palletising zone,21,1,Break Down,Depalletiser,Material,Collapse pallet at Palletising zone
29/04/2024,Afternoon,5,Control air missing,25,1,External Stop,Innopas,Machine,Control air missing
29/04/2024,Night,6,Safety audit check of Filler safety doors and emergency push buttons.,10,1,Planned Stop,Filler,Method,Safety audit check of Filler safety doors and emergency push buttons.
29/04/2024,Night,6,Packer frequent jam @ packing zone,10,12,Minor Stop,Packer,Machine,Packer frequent jam @ packing zone
29/04/2024,Night,6,evacuation of foreign bottles (Life Bottles) fom the line,10,1,External Stop,Crate Conveyor,Material,evacuation of foreign bottles (Life Bottles) fom the line
29/04/2024,Night,6,Packer frequent jam @ packing zone,10,13,Minor Stop,Filler,Machine,Packer frequent jam @ packing zone
29/04/2024,Night,5,Decontamination cleaning of Filler.,45,1,Planned Stop,Innofill,Man,Decontamination Cleaning of Filler.
29/04/2024,Night,6,palletiser stopping on gripper can't close due to wrong pack turnning,10,3,Minor Stop,Palletiser,Machine,palletiser stopping on gripper can't close due to wrong pack turnning
29/04/2024,Night,5,fallen bottles at filler discharge conveyor due to bottle jam at filler checkmat,3,1,Minor Stop,Innofill,Machine,Fallen bottles at filler discharge conveyor due to bottle jam at filler checkmat
29/04/2024,Night,6,Packer frequent jam @ packing zone,15,23,Minor Stop,Packer,Machine,Packer frequent jam @ packing zone
29/04/2024,Night,6,Jam at labeller infeed,5,3,Minor Stop,Labeller,Machine,Jam at labeller infeed
29/04/2024,Night,5,Low /drop in general air supply from utilities,9,1,External Stop,Innopal,Machine,Low /drop in general air supply from utilities
29/04/2024,Night,6,Packer frequent jam @ packing zone,10,23,Minor Stop,Packer,Machine,Packer frequent jam @ packing zone
29/04/2024,Night,6,crate conveyor trip off on frequency inverter signal fault 2459,15,2,Minor Stop,Crate Conveyor,Machine,crate conveyor trip off on frequency inverter signal fault 2459
29/04/2024,Night,6,EBI rejection coveyor to washer infeed is tripping off,5,1,Minor Stop,Bottle Conveyor,Machine,EBI rejection coveyor to washer infeed is tripping off
29/04/2024,Night,6,Packer frequent jam @ packing zone,10,19,Minor Stop,Packer,Machine,Packer frequent jam @ packing zone
29/04/2024,Night,5,fallen bottles at filler discharge conveyor due to bottle jam at filler checkmat,4,1,Minor Stop,Innofill,Machine,Fallen bottles at filler discharge conveyor due to bottle jam at filler checkmat
29/04/2024,Night,5,Preform hooked at infeed rail,4,2,Minor Stop,Blowmax,Machine,preform hooked at infeed rail
29/04/2024,Night,5,Poor bottles flow along the air conveyor between section 25-29,3,2,Minor Stop,Innofill,Machine,Poor bottles flow along the air conveyor between section 25-29
29/04/2024,Night,5,fallen bottles at filler discharge conveyor due to bottle jam at filler checkmat,3,1,Minor Stop,Innofill,Machine,Fallen bottles at filler discharge conveyor due to bottle jam at filler checkmat
29/04/2024,Night,6,Packer frequent jam @ packing zone,10,16,Minor Stop,Packer,Machine,Packer frequent jam @ packing zone
29/04/2024,Night,6,"Forklift not meeting up @ pal, due to stacking distance",10,1,External Stop,Palletiser,Man,"Forklift not meeting up @ pal, due to stacking distance"
29/04/2024,Night,6,"Forklift not meeting up @ pal, due to stacking distance",20,1,External Stop,Palletiser,Man,"Forklift not meeting up @ pal, due to stacking distance"
29/04/2024,Night,6,crate conveyor trip off on frequency inverter signal fault 2208,10,1,Minor Stop,Crate Conveyor,Machine,crate conveyor trip off on frequency inverter signal fault 2208
29/04/2024,Night,5,Cleaning of gripper cylinder due to glue smear,6,2,Minor Stop,Innoket,Machine,Cleaning of gripper cylinder due to glue smear
29/04/2024,Night,6,Depalletiser stops frequently due to jam at cross discharge,10,9,Minor Stop,Depalletiser,Machine,Depalletiser stops frequently due to jam at cross discharge
29/04/2024,Night,6,Depalletiser stops frequently due to jam at cross discharge,10,9,Minor Stop,Depalletiser,Machine,Depalletiser stops frequently due to jam at cross discharge
29/04/2024,Night,6,Packer frequent jam @ packing zone,10,15,Minor Stop,Packer,Machine,Packer frequent jam @ packing zone
29/04/2024,Night,5,fallen bottles at filler discharge conveyor due to bottle jam at filler checkmat,6,2,Minor Stop,Innoket,Machine,Fallen bottles at filler discharge conveyor due to bottle jam at filler checkmat
29/04/2024,Night,5,Cap jam at dynasort discharge unit.,3,1,Minor Stop,Innofill,Machine,Cap jam at dynasort discharge unit.
30/04/2024,Day,6,Machine safety audit/shift handover,10,1,Planned Stop,Bottle Conveyor,Method,Machine safety audit/shift handover
30/04/2024,Day,6,Crate over travelling at unpacker indexing conveyor,34,1,Break Down,Unpacker,Machine,Due to pull out stopper from the cylinder
30/04/2024,Day,6,Crate over travelling at unpacker indexing conveyor,11,1,Break Down,Unpacker,Machine,Due to pull out stopper from the cylinder
30/04/2024,Day,6,Labeller stopped on No release for production: Code/Dating device 1,19,1,Break Down,Labeller,Machine,Labeller stopped on No release for production: Code/Dating device 1
30/04/2024,Day,6,Frequent crate miscount at palletiser,16,5,Minor Stop,Palletiser,Machine,Due to malfunction crate turner
30/04/2024,Day,6,Frequent jam at packing zone,16,6,Minor Stop,Packer,Machine,Frequent jam at packing zone
30/04/2024,Day,5,Label carryover/missing label    ,12,2,Minor Stop,Innoket,Machine,irregular cutting of label    
30/04/2024,Day,5,Frequent falling bottles from labeler discharge starwheel due to work loose bottle seat ,12,4,Minor Stop,Innoket,Machine,work  loose bottle seat
30/04/2024,Day,5,Frequent falling bottles from labeler discharge starwheel due to work loose bottle seat ,6,3,Minor Stop,Innoket,Machine,work  loose bottle seat
30/04/2024,Day,5,layer pad inserter hang while dropping pad at palletizing zone ,6,1,Minor Stop,Innopal,Machine,Layer pad inserter malfunction
30/04/2024,Day,5,CILT TIME ,45,1,Planned Stop,Innofill,Method,CILT TIME 
30/04/2024,Day,5,CILT TIME ,15,1,Planned Stop,Innofill,Method,CILT TIME 
30/04/2024,Day,6,CILT TIME ,60,1,Planned Stop,Bottle Conveyor,Method,CILT TIME 
30/04/2024,Day,6,Air drop from utility across the line ,20,1,External Stop,Bottle Washer,Method,Air drop from utility across the line 
30/04/2024,Day,5,Line stopped on supply air pressure from utilities too low ,20,1,External Stop,,Method,Air compressor trip off
30/04/2024,Day,5,Line stopped on supply air pressure from utilities too low ,10,1,External Stop,,Method,Air compressor trip off
30/04/2024,Day,5,Tunnel pasteurizer stopped on RH3/RHL pump pressure too low ,10,1,Minor Stop,Innopas,Machine,Gradual blocking of spray pipes
30/04/2024,Day,5,Frequent falling bottles at wrapping section of kister due to Improper cutting of shrink film ,5,2,Minor Stop,Kister,Machine,Film cutter getting blunt 
30/04/2024,Day,5,Frequent falling bottles at wrapping section of kister due to Improper cutting of shrink film ,18,4,Minor Stop,Kister,Machine,Film cutter getting blunt 
30/04/2024,Day,5,Label carryover/missing label    ,6,1,Minor Stop,Innoket,Material,irregular cutting of label    
30/04/2024,Day,5,Label carryover/missing label    ,8,2,Minor Stop,Innoket,Material,irregular cutting of label    
30/04/2024,Day,5,Frequent falling bottles at wrapping section due to improper cutting of shrink film ,3,1,Minor Stop,Kister,Machine,Film cutter getting blunt 
